diagnostic_id,diagnostic_type,severity,scan_record_id,field,evidence,limitation
A003-D019,unresolved_configuration_field_presence,info,,atilt,Declared in 201 canonical header column lists.,"Candidate for future semantic verification only; no value analysis, boundary inference or v1 inclusion."
A003-D020,unresolved_configuration_field_presence,info,,atrans,Declared in 201 canonical header column lists.,"Candidate for future semantic verification only; no value analysis, boundary inference or v1 inclusion."
A003-D021,unresolved_configuration_field_presence,info,,mtilt,Declared in 201 canonical header column lists.,"Candidate for future semantic verification only; no value analysis, boundary inference or v1 inclusion."
A003-D022,unresolved_configuration_field_presence,info,,mtrans,Declared in 201 canonical header column lists.,"Candidate for future semantic verification only; no value analysis, boundary inference or v1 inclusion."
A003-D023,unresolved_configuration_field_presence,info,,pa_bottom,Declared in 201 canonical header column lists.,"Candidate for future semantic verification only; no value analysis, boundary inference or v1 inclusion."
A003-D024,unresolved_configuration_field_presence,info,,pa_left,Declared in 201 canonical header column lists.,"Candidate for future semantic verification only; no value analysis, boundary inference or v1 inclusion."
A003-D025,unresolved_configuration_field_presence,info,,pa_right,Declared in 201 canonical header column lists.,"Candidate for future semantic verification only; no value analysis, boundary inference or v1 inclusion."
A003-D026,unresolved_configuration_field_presence,info,,pa_top,Declared in 201 canonical header column lists.,"Candidate for future semantic verification only; no value analysis, boundary inference or v1 inclusion."
A003-D027,unresolved_configuration_field_presence,info,,ps_bottom,Declared in 201 canonical header column lists.,"Candidate for future semantic verification only; no value analysis, boundary inference or v1 inclusion."
A003-D028,unresolved_configuration_field_presence,info,,ps_left,Declared in 201 canonical header column lists.,"Candidate for future semantic verification only; no value analysis, boundary inference or v1 inclusion."
A003-D029,unresolved_configuration_field_presence,info,,ps_right,Declared in 201 canonical header column lists.,"Candidate for future semantic verification only; no value analysis, boundary inference or v1 inclusion."
A003-D030,unresolved_configuration_field_presence,info,,ps_top,Declared in 201 canonical header column lists.,"Candidate for future semantic verification only; no value analysis, boundary inference or v1 inclusion."
A003-D031,unresolved_configuration_field_presence,info,,vs_left,Declared in 201 canonical header column lists.,"Candidate for future semantic verification only; no value analysis, boundary inference or v1 inclusion."
A003-D032,unresolved_configuration_field_presence,info,,vs_right,Declared in 201 canonical header column lists.,"Candidate for future semantic verification only; no value analysis, boundary inference or v1 inclusion."
A003-D033,excluded_header_value_diagnostic,info,,sense,"{""[\""-\""]"":201}",Recorded variation is not verified normalization-hardware reconfiguration; no v1 identity extension.
A003-D034,excluded_header_value_diagnostic,info,,samplemosaic,"{""[\""0.3\""]"":201}",Recorded variation is not verified normalization-hardware reconfiguration; no v1 identity extension.
A003-D035,excluded_header_value_diagnostic,info,,plane_normal,"{""[\""\""]"":201}",Recorded variation is not verified normalization-hardware reconfiguration; no v1 identity extension.
A003-D036,excluded_header_value_diagnostic,info,,ubconf,"{""[\""\""]"":201}",Recorded variation is not verified normalization-hardware reconfiguration; no v1 identity extension.
